ID,Buses,Estacion,Rutas,Tarifa,Altitud,Longitud
431,Expreso3,Tomas Valle,Alimentador,1.5,-9662,-72836
432,Expreso1,Izaguirre,Ruta Troncal,2.5,-8129,-77129
433,Expreso9,Jiron de la Union,Alimentador,1.5,-6548,-77975
434,Expreso1,Estadio Nacional,Ruta Troncal,2.5,-8675,-74550
435,SX,Rosario de Villa,Alimentador,1.5,-5948,-79075
436,Expreso5,Matellini,Ruta Troncal,2.5,-9256,-72179
437,Expreso4,Tacna,Ruta Troncal,2.5,-5378,-78543
438,B,Jiron de la Union,Alimentador,1.5,-7899,-79176
439,Expreso2,Izaguirre,Ruta Troncal,2.5,-6785,-71729
440,Expreso2,Aramburu,Alimentador,1.5,-5515,-71796
441,C,Benavides,Alimentador,1.5,-8693,-74791
442,Expreso8,Domingo Orue,Ruta Troncal,2.5,-7550,-79186
443,Expreso3,Tacna,Ruta Troncal,2.5,-6221,-78875
444,Expreso1,Pacifico,Alimentador,1.5,-5121,-76153
445,Expreso5,Canada,Ruta Troncal,2.5,-6505,-71355
446,Expreso5,Mexico,Ruta Troncal,2.5,-9003,-70700
447,Expreso6,Los jasmines,Alimentador,1.5,-7126,-71041
448,A,Rosario de Villa,Alimentador,1.5,-7123,-72847
449,Expreso9,Bulevar,Ruta Troncal,2.5,-8879,-72768
450,Expreso6,Estacion F,Ruta Troncal,2.5,-9755,-77051
451,Expreso5,Estadio Nacional,Ruta Troncal,2.5,-8562,-76639
452,Expreso3,28 de Julio,Ruta Troncal,2.5,-7664,-73016
453,Expreso2,Balta,Ruta Troncal,2.5,-5839,-73905
454,B,Benavides,Ruta Troncal,2.5,-6508,-74170
455,Expreso7,Aramburu,Alimentador,1.5,-9849,-73878
456,SXN,Colmena,Alimentador,1.5,-9005,-75201
457,Expreso4,Estadio Nacional,Ruta Troncal,2.5,-8206,-77241
458,Expreso4,Domingo Orue,Ruta Troncal,2.5,-9157,-73302
459,Expreso5,Matellini,Alimentador,1.5,-9055,-77918
460,Expreso6,Honorio Delgado,Alimentador,1.5,-6163,-70179
461,C,Uni,Ruta Troncal,2.5,-6247,-77073
462,Expreso4,Ramon,Alimentador,1.5,-7013,-71484
463,D,Estadio Nacional,Ruta Troncal,2.5,-6262,-70053
464,Expreso9,Central,Ruta Troncal,2.5,-8334,-74524
465,SX,Independencia,Ruta Troncal,2.5,-5019,-71783
466,Expreso3,Angamos,Alimentador,1.5,-5241,-75922
467,SX,El milagro,Ruta Troncal,2.5,-9391,-75349
468,D,Naranjal,Alimentador,1.5,-7172,-75941
469,D,Estacion F,Ruta Troncal,2.5,-7784,-72290
470,Expreso8,Rosario de Villa,Alimentador,1.5,-8786,-77171
471,A,Javier Prado,Alimentador,1.5,-7272,-79604
472,D,España,Alimentador,1.5,-7294,-75687
473,C,Parque del trabajo,Alimentador,1.5,-8967,-70135
474,SXN,Balta,Ruta Troncal,2.5,-7602,-76252
475,Expreso1,Estacion C,Ruta Troncal,2.5,-9824,-71219
476,SXN,28 de Julio,Alimentador,1.5,-9680,-71796
477,Expreso8,Independencia,Alimentador,1.5,-9617,-73397
478,SXN,Estacion B,Alimentador,1.5,-9758,-77908
479,A,Estacion F,Alimentador,1.5,-8496,-70172
480,Expreso7,España,Alimentador,1.5,-7857,-77803
481,C,Matellini,Ruta Troncal,2.5,-5475,-74066
482,D,Canaval Moreyra,Alimentador,1.5,-9590,-74493
483,Expreso2,Estacion D,Alimentador,1.5,-8162,-70424
484,C,Estacion C,Ruta Troncal,2.5,-7969,-74077
485,Expreso6,Benavides,Alimentador,1.5,-5701,-78503
486,Expreso6,Parque del trabajo,Alimentador,1.5,-9598,-77930
487,SX,Colmena,Alimentador,1.5,-9992,-72386
488,Expreso1,Quilca,Ruta Troncal,2.5,-5776,-72189
489,D,Independencia,Alimentador,1.5,-7536,-77206
490,Expreso1,Estacion C,Ruta Troncal,2.5,-7149,-78279
491,Expreso7,Estacion A,Alimentador,1.5,-7540,-70675
492,C,Domingo Orue,Ruta Troncal,2.5,-8278,-77655
493,Expreso4,Estacion F,Ruta Troncal,2.5,-8341,-76773
494,Expreso5,Independencia,Alimentador,1.5,-5596,-70143
495,SX,Javier Prado,Ruta Troncal,2.5,-6939,-79220
496,Expreso5,Canada,Alimentador,1.5,-6472,-73259
497,Expreso4,Tomas Valle,Ruta Troncal,2.5,-5315,-73511
498,SXN,Matellini,Ruta Troncal,2.5,-8007,-70451
499,Expreso5,Uni,Ruta Troncal,2.5,-7423,-77777
500,B,Canada,Alimentador,1.5,-7140,-78443
501,Expreso6,Bulevar,Ruta Troncal,2.5,-8507,-72374
502,Expreso6,Izaguirre,Alimentador,1.5,-8669,-78023
503,Expreso9,Caqueta,Alimentador,1.5,-6700,-72031
504,SX,Ramon,Ruta Troncal,2.5,-5603,-73793
505,SXN,Aramburu,Ruta Troncal,2.5,-5098,-73890
506,C,Estacion F,Ruta Troncal,2.5,-8435,-72167
507,B,Benavides,Ruta Troncal,2.5,-5911,-73546
508,Expreso9,Independencia,Alimentador,1.5,-6553,-76514
509,Expreso2,Colmena,Alimentador,1.5,-8930,-70769
510,A,Angamos,Ruta Troncal,2.5,-7611,-71481
511,C,Ricardo Palma,Ruta Troncal,2.5,-6328,-79983
512,SX,Estacion A,Alimentador,1.5,-6275,-73829
513,Expreso6,Colmena,Ruta Troncal,2.5,-5655,-78771
514,B,Izaguirre,Ruta Troncal,2.5,-6172,-78493
515,Expreso9,Mexico,Alimentador,1.5,-8627,-76038
516,SX,Benavides,Ruta Troncal,2.5,-9153,-73743
517,SXN,Escuela Militar,Ruta Troncal,2.5,-6113,-79038
518,Expreso2,Uni,Alimentador,1.5,-5478,-75310
519,Expreso4,Estacion A,Alimentador,1.5,-5140,-70600
520,C,Colmena,Ruta Troncal,2.5,-9878,-76832
521,D,Colmena,Alimentador,1.5,-9462,-71984
522,Expreso2,Pacifico,Alimentador,1.5,-9010,-77160
523,D,Uni,Ruta Troncal,2.5,-9323,-72602
524,Expreso5,Tacna,Ruta Troncal,2.5,-8844,-70145
525,Expreso3,Balta,Ruta Troncal,2.5,-5264,-74943
526,Expreso9,Escuela Militar,Ruta Troncal,2.5,-6512,-70749
527,Expreso1,Izaguirre,Alimentador,1.5,-8835,-76173
528,A,España,Ruta Troncal,2.5,-7936,-75051
529,D,Honorio Delgado,Ruta Troncal,2.5,-6941,-74564
530,SX,Aramburu,Alimentador,1.5,-9775,-76154
531,B,Pacifico,Ruta Troncal,2.5,-5713,-77407
532,Expreso9,Estacion B,Ruta Troncal,2.5,-5636,-74863
533,Expreso8,Naranjal,Ruta Troncal,2.5,-9645,-70749
534,A,Central,Ruta Troncal,2.5,-9422,-71543
535,Expreso8,Estadio Nacional,Alimentador,1.5,-8860,-73735
536,SX,Uni,Alimentador,1.5,-7739,-76396
537,Expreso1,Estacion F,Alimentador,1.5,-7169,-79439
538,B,Canaval Moreyra,Ruta Troncal,2.5,-7405,-75994
539,Expreso7,Honorio Delgado,Alimentador,1.5,-8849,-76875
540,A,Aramburu,Ruta Troncal,2.5,-7624,-77142
541,Expreso5,Los jasmines,Ruta Troncal,2.5,-9206,-71443
542,Expreso9,Estacion E,Alimentador,1.5,-9586,-70439
543,D,Pacifico,Ruta Troncal,2.5,-7558,-70898
544,SXN,Independencia,Ruta Troncal,2.5,-5830,-79897
545,Expreso3,Teran,Ruta Troncal,2.5,-6401,-76363
546,Expreso2,Estacion E,Alimentador,1.5,-5910,-73853
547,SX,Estacion D,Alimentador,1.5,-6049,-76177
548,SX,Canada,Alimentador,1.5,-9336,-77773
549,D,Benavides,Alimentador,1.5,-6899,-79146
550,Expreso4,Dos de Mayo,Ruta Troncal,2.5,-9214,-71438
551,Expreso2,España,Ruta Troncal,2.5,-8530,-71618
552,D,Teran,Ruta Troncal,2.5,-5997,-76886
553,Expreso2,Central,Alimentador,1.5,-9006,-77133
554,Expreso9,Escuela Militar,Alimentador,1.5,-8677,-71694
555,B,Pacifico,Ruta Troncal,2.5,-6257,-71539
556,Expreso2,El milagro,Alimentador,1.5,-6179,-70214
557,D,Estacion A,Alimentador,1.5,-8327,-76155
558,A,Matellini,Alimentador,1.5,-8963,-73669
559,Expreso9,Javier Prado,Ruta Troncal,2.5,-9251,-72469
560,A,Domingo Orue,Alimentador,1.5,-9719,-73353
561,Expreso8,Quilca,Alimentador,1.5,-8430,-75044
562,Expreso6,Tomas Valle,Ruta Troncal,2.5,-5420,-71702
563,A,Tacna,Alimentador,1.5,-8523,-79372
564,Expreso4,Balta,Ruta Troncal,2.5,-9855,-74373
565,Expreso5,Tomas Valle,Alimentador,1.5,-9705,-73072
566,D,Independencia,Alimentador,1.5,-5275,-73318
567,Expreso4,Estacion D,Alimentador,1.5,-8354,-73641
568,Expreso9,Canada,Alimentador,1.5,-9084,-78524
569,A,Estacion C,Ruta Troncal,2.5,-7328,-77093
570,Expreso1,Pacifico,Alimentador,1.5,-7688,-74020
571,Expreso3,Ramon,Alimentador,1.5,-8800,-79929
572,Expreso3,Mexico,Ruta Troncal,2.5,-9248,-74389
573,Expreso5,Ramon,Alimentador,1.5,-6777,-78339
574,Expreso8,Benavides,Ruta Troncal,2.5,-6965,-72164
575,Expreso5,Honorio Delgado,Alimentador,1.5,-9363,-75422
576,Expreso9,Estacion F,Ruta Troncal,2.5,-5239,-73550
577,Expreso2,Estadio Nacional,Alimentador,1.5,-5796,-75283
578,Expreso7,Estadio Union,Ruta Troncal,2.5,-8557,-70840
579,Expreso8,Aramburu,Ruta Troncal,2.5,-6919,-78490
580,A,Honorio Delgado,Ruta Troncal,2.5,-8945,-75738
581,Expreso1,Dos de Mayo,Alimentador,1.5,-9640,-70889
582,SXN,Dos de Mayo,Ruta Troncal,2.5,-5793,-79752
583,D,Escuela Militar,Ruta Troncal,2.5,-5917,-75106
584,Expreso5,Domingo Orue,Alimentador,1.5,-8215,-73918
585,A,Estacion A,Alimentador,1.5,-7921,-77983
586,C,Estadio Nacional,Ruta Troncal,2.5,-6891,-76289
587,Expreso1,El milagro,Alimentador,1.5,-9365,-75894
588,A,Tacna,Alimentador,1.5,-5432,-78101
589,Expreso7,Teran,Alimentador,1.5,-5507,-78758
590,Expreso7,Honorio Delgado,Ruta Troncal,2.5,-5528,-76130
591,C,Domingo Orue,Alimentador,1.5,-7961,-75549
592,B,Ricardo Palma,Alimentador,1.5,-5858,-74851
593,SXN,Estacion B,Ruta Troncal,2.5,-8897,-79328
594,Expreso8,Naranjal,Alimentador,1.5,-8485,-73868
595,D,Uni,Ruta Troncal,2.5,-8879,-77559
596,A,Estadio Nacional,Alimentador,1.5,-7854,-73661
597,Expreso4,Estacion E,Alimentador,1.5,-6809,-70319
598,SX,Central,Alimentador,1.5,-8444,-77477
599,Expreso2,Plaza de Flores,Ruta Troncal,2.5,-9338,-75086
600,Expreso2,Caqueta,Ruta Troncal,2.5,-5313,-75674
601,Expreso8,Dos de Mayo,Ruta Troncal,2.5,-9554,-79724
602,Expreso9,Estadio Union,Ruta Troncal,2.5,-7564,-77053
603,D,Estadio Union,Ruta Troncal,2.5,-8472,-72567
604,D,Benavides,Ruta Troncal,2.5,-9320,-74518
605,SXN,Jiron de la Union,Alimentador,1.5,-7021,-70335
606,Expreso7,Teran,Ruta Troncal,2.5,-7750,-76724
607,Expreso3,Plaza de Flores,Alimentador,1.5,-9493,-76813
608,Expreso4,Estacion A,Ruta Troncal,2.5,-5411,-74894
609,Expreso6,28 de Julio,Ruta Troncal,2.5,-6653,-73885
610,SX,Escuela Militar,Alimentador,1.5,-8037,-77625
611,Expreso4,Honorio Delgado,Ruta Troncal,2.5,-5166,-73342
612,SXN,Teran,Ruta Troncal,2.5,-6110,-76316
613,Expreso2,Balta,Ruta Troncal,2.5,-8355,-78506
614,Expreso9,Mexico,Ruta Troncal,2.5,-7882,-78339
615,Expreso6,Javier Prado,Alimentador,1.5,-5847,-76504
616,Expreso9,Naranjal,Alimentador,1.5,-5764,-78730
617,Expreso6,Teran,Ruta Troncal,2.5,-8261,-73376
618,Expreso1,Quilca,Ruta Troncal,2.5,-8507,-78334
619,Expreso9,España,Ruta Troncal,2.5,-8738,-79495
620,Expreso2,El milagro,Alimentador,1.5,-7255,-73521
621,C,Bulevar,Alimentador,1.5,-5062,-79660
622,Expreso8,Estacion A,Alimentador,1.5,-6514,-75557
623,A,Estacion C,Alimentador,1.5,-7467,-73148
624,Expreso8,Plaza de Flores,Alimentador,1.5,-7443,-75306
625,Expreso2,Teran,Alimentador,1.5,-8361,-71319
626,Expreso6,Matellini,Alimentador,1.5,-9992,-70674
627,C,Uni,Alimentador,1.5,-7226,-72567
628,B,Estacion D,Alimentador,1.5,-8274,-75253
629,A,Los jasmines,Alimentador,1.5,-8444,-71639
630,Expreso8,Los jasmines,Alimentador,1.5,-5698,-78011
631,Expreso5,Estacion A,Ruta Troncal,2.5,-5345,-76603
632,Expreso9,El milagro,Alimentador,1.5,-6573,-77040
633,B,Tomas Valle,Ruta Troncal,2.5,-8191,-73503
634,A,Estacion B,Alimentador,1.5,-8581,-76232
635,SXN,Jiron de la Union,Alimentador,1.5,-6646,-75741
636,D,Ramon,Ruta Troncal,2.5,-5184,-76246
637,Expreso9,Escuela Militar,Ruta Troncal,2.5,-8084,-74486
638,A,Caqueta,Alimentador,1.5,-7092,-72520
639,Expreso3,Estacion E,Alimentador,1.5,-8908,-73324
640,Expreso4,Caqueta,Ruta Troncal,2.5,-8987,-77132
641,Expreso5,Estadio Union,Ruta Troncal,2.5,-7861,-77161
642,Expreso6,Bulevar,Ruta Troncal,2.5,-6358,-75748
643,Expreso4,Los jasmines,Ruta Troncal,2.5,-5712,-70457
644,C,Caqueta,Ruta Troncal,2.5,-6475,-75221
645,Expreso8,Naranjal,Ruta Troncal,2.5,-7673,-79033
646,A,Parque del trabajo,Alimentador,1.5,-5799,-77467
647,Expreso2,Plaza de Flores,Alimentador,1.5,-5737,-70396
648,Expreso4,Angamos,Ruta Troncal,2.5,-8471,-79985
649,A,Dos de Mayo,Alimentador,1.5,-5303,-79817
650,Expreso4,Mexico,Alimentador,1.5,-9892,-75037
651,Expreso5,Canaval Moreyra,Alimentador,1.5,-7574,-76213
652,Expreso7,Matellini,Ruta Troncal,2.5,-8325,-77326
653,A,Matellini,Ruta Troncal,2.5,-5375,-75524
654,Expreso3,Matellini,Alimentador,1.5,-9472,-74846
655,A,Estacion C,Ruta Troncal,2.5,-8215,-75960
656,A,Tomas Valle,Alimentador,1.5,-8222,-78463
657,Expreso3,Teran,Alimentador,1.5,-8011,-78131
658,C,Teran,Alimentador,1.5,-8525,-72123
659,B,Canaval Moreyra,Ruta Troncal,2.5,-9007,-78766
660,D,Domingo Orue,Ruta Troncal,2.5,-8634,-79099
661,Expreso4,28 de Julio,Alimentador,1.5,-6990,-75729
662,Expreso5,Estacion C,Alimentador,1.5,-9735,-79880
663,Expreso1,Los jasmines,Ruta Troncal,2.5,-9693,-73685
664,SXN,Quilca,Alimentador,1.5,-8980,-76740
665,Expreso7,Domingo Orue,Ruta Troncal,2.5,-7949,-71555
666,SXN,Dos de Mayo,Alimentador,1.5,-8127,-70481
667,SXN,El milagro,Alimentador,1.5,-8395,-70315
668,Expreso7,Honorio Delgado,Alimentador,1.5,-8648,-79497
669,Expreso2,España,Ruta Troncal,2.5,-6541,-77796
670,SXN,Estacion E,Alimentador,1.5,-7508,-74382
671,A,Teran,Alimentador,1.5,-7415,-71515
672,D,Domingo Orue,Ruta Troncal,2.5,-6899,-72448
673,SXN,Estacion C,Alimentador,1.5,-9065,-79216
674,Expreso4,Estadio Union,Alimentador,1.5,-9371,-79469
675,Expreso6,Teran,Ruta Troncal,2.5,-7395,-75772
676,D,Teran,Ruta Troncal,2.5,-9186,-70192
677,SXN,Dos de Mayo,Alimentador,1.5,-9593,-79063
678,Expreso6,Pacifico,Ruta Troncal,2.5,-6113,-78351
679,Expreso8,Quilca,Ruta Troncal,2.5,-9511,-78191
680,D,Tomas Valle,Alimentador,1.5,-8378,-74955
681,B,España,Alimentador,1.5,-5903,-74126
682,C,Tomas Valle,Alimentador,1.5,-9304,-74587
683,Expreso2,Naranjal,Ruta Troncal,2.5,-8524,-77499
684,Expreso1,28 de Julio,Ruta Troncal,2.5,-6971,-71525
685,Expreso1,Estacion B,Ruta Troncal,2.5,-8562,-77691
686,Expreso4,Parque del trabajo,Ruta Troncal,2.5,-5379,-78535
687,Expreso6,Los jasmines,Alimentador,1.5,-8784,-77034
688,C,Caqueta,Ruta Troncal,2.5,-5108,-72180
689,Expreso9,Tomas Valle,Alimentador,1.5,-7396,-76478
690,Expreso9,El milagro,Alimentador,1.5,-5418,-79870
691,Expreso5,Uni,Alimentador,1.5,-9220,-78699
692,Expreso6,Dos de Mayo,Alimentador,1.5,-8943,-77539
693,Expreso6,Estacion C,Alimentador,1.5,-9213,-72437
694,Expreso4,Tacna,Alimentador,1.5,-5179,-79078
695,SXN,Tacna,Ruta Troncal,2.5,-6969,-77588
696,Expreso4,Los jasmines,Ruta Troncal,2.5,-6979,-76113
697,A,El milagro,Alimentador,1.5,-9636,-79274
698,Expreso5,Plaza de Flores,Alimentador,1.5,-5195,-78261
699,Expreso2,Ricardo Palma,Ruta Troncal,2.5,-8098,-71816
700,Expreso1,Los jasmines,Alimentador,1.5,-5336,-79339
701,Expreso7,Estacion C,Alimentador,1.5,-7224,-75265
702,Expreso5,Teran,Alimentador,1.5,-7926,-78321
703,Expreso8,Benavides,Ruta Troncal,2.5,-9855,-72467
704,Expreso4,Canaval Moreyra,Ruta Troncal,2.5,-6029,-79592
705,Expreso9,Estacion A,Alimentador,1.5,-5658,-70418
706,SX,Aramburu,Alimentador,1.5,-5984,-75284
707,Expreso7,Estacion C,Ruta Troncal,2.5,-7297,-72928
708,SXN,Matellini,Ruta Troncal,2.5,-7562,-71351
709,Expreso9,Colmena,Alimentador,1.5,-5640,-76059
710,C,Colmena,Alimentador,1.5,-6223,-75968
711,Expreso7,Angamos,Ruta Troncal,2.5,-6106,-72900
712,SXN,Domingo Orue,Ruta Troncal,2.5,-8147,-70351
713,Expreso4,Central,Ruta Troncal,2.5,-5497,-79088
714,B,España,Alimentador,1.5,-5154,-72262
715,Expreso9,Estacion D,Alimentador,1.5,-5247,-79279
716,Expreso7,Estacion D,Ruta Troncal,2.5,-9613,-77243
717,Expreso9,Plaza de Flores,Ruta Troncal,2.5,-6194,-79391
718,Expreso4,Ricardo Palma,Ruta Troncal,2.5,-8037,-77936
719,B,Estadio Nacional,Ruta Troncal,2.5,-8384,-77204
720,SXN,Tomas Valle,Alimentador,1.5,-7643,-77311
721,Expreso5,Plaza de Flores,Ruta Troncal,2.5,-6734,-70705
722,Expreso2,Matellini,Ruta Troncal,2.5,-5264,-77435
723,SXN,Estacion E,Ruta Troncal,2.5,-7456,-74558
724,Expreso8,Escuela Militar,Ruta Troncal,2.5,-6788,-71386
725,Expreso2,Uni,Alimentador,1.5,-8401,-70211
726,A,Aramburu,Ruta Troncal,2.5,-6974,-70387
727,D,Plaza de Flores,Alimentador,1.5,-9127,-70102
728,SXN,Naranjal,Ruta Troncal,2.5,-8079,-78479
729,A,Estacion C,Ruta Troncal,2.5,-7601,-73490
730,C,El milagro,Alimentador,1.5,-6264,-70214
731,B,Matellini,Ruta Troncal,2.5,-9311,-71046
732,Expreso2,Honorio Delgado,Ruta Troncal,2.5,-9115,-78823
733,SXN,Domingo Orue,Ruta Troncal,2.5,-5145,-73260
734,Expreso7,Matellini,Alimentador,1.5,-6529,-72665
735,Expreso8,Jiron de la Union,Alimentador,1.5,-9677,-71819
736,B,Caqueta,Ruta Troncal,2.5,-7064,-76957
737,Expreso9,Izaguirre,Ruta Troncal,2.5,-9879,-78997
738,Expreso8,Caqueta,Ruta Troncal,2.5,-9571,-75395
739,C,Canaval Moreyra,Alimentador,1.5,-7669,-71131
740,SXN,Caqueta,Ruta Troncal,2.5,-6764,-71229
741,Expreso8,Angamos,Alimentador,1.5,-6428,-79547
742,Expreso9,Benavides,Alimentador,1.5,-5143,-71379
743,Expreso5,Ramon,Alimentador,1.5,-9913,-72203
744,D,Uni,Ruta Troncal,2.5,-6166,-77006
745,D,Caqueta,Ruta Troncal,2.5,-8192,-73555
746,Expreso2,Central,Ruta Troncal,2.5,-8993,-74890
747,SX,Estacion E,Alimentador,1.5,-8233,-71561
748,B,Canaval Moreyra,Alimentador,1.5,-6932,-71749
749,Expreso5,Javier Prado,Ruta Troncal,2.5,-6216,-70221
750,C,Ramon,Alimentador,1.5,-8758,-74020
751,SX,Bulevar,Alimentador,1.5,-9773,-78632
752,Expreso5,Escuela Militar,Alimentador,1.5,-5128,-78843
753,Expreso7,Izaguirre,Ruta Troncal,2.5,-7866,-76858
754,Expreso7,Benavides,Ruta Troncal,2.5,-8975,-74609
755,Expreso3,Ramon,Alimentador,1.5,-6572,-72896
756,Expreso5,28 de Julio,Ruta Troncal,2.5,-8707,-79615
757,Expreso5,Plaza de Flores,Alimentador,1.5,-7993,-70254
758,D,Teran,Ruta Troncal,2.5,-8683,-74810
759,Expreso3,Naranjal,Ruta Troncal,2.5,-9085,-77192
760,Expreso8,Colmena,Ruta Troncal,2.5,-8516,-75529
761,SX,Estadio Union,Alimentador,1.5,-6052,-70740
762,Expreso9,28 de Julio,Alimentador,1.5,-6733,-77079
763,SX,Naranjal,Alimentador,1.5,-8359,-77151
764,Expreso5,Pacifico,Alimentador,1.5,-5869,-76904
765,Expreso9,Colmena,Alimentador,1.5,-9576,-72422
766,Expreso1,Estacion D,Alimentador,1.5,-9948,-75351
767,SX,Honorio Delgado,Ruta Troncal,2.5,-7747,-77795
768,Expreso2,Jiron de la Union,Ruta Troncal,2.5,-6202,-71236
769,C,España,Ruta Troncal,2.5,-6388,-76006
770,Expreso1,Javier Prado,Ruta Troncal,2.5,-9415,-75190
771,Expreso6,Jiron de la Union,Ruta Troncal,2.5,-8547,-77377
772,A,28 de Julio,Ruta Troncal,2.5,-8705,-79664
773,SX,Estacion C,Alimentador,1.5,-5691,-71820
774,SX,Estacion A,Ruta Troncal,2.5,-7104,-70117
775,Expreso6,Estadio Nacional,Ruta Troncal,2.5,-5265,-70311
776,Expreso1,Izaguirre,Alimentador,1.5,-9527,-72641
777,SXN,Balta,Ruta Troncal,2.5,-6755,-73402
778,SXN,Estacion C,Alimentador,1.5,-8405,-73594
779,Expreso1,Estacion B,Ruta Troncal,2.5,-5001,-77064
780,B,Tomas Valle,Ruta Troncal,2.5,-9261,-79144
781,Expreso9,Honorio Delgado,Alimentador,1.5,-5479,-77277
782,Expreso7,Izaguirre,Alimentador,1.5,-8236,-73024
783,Expreso3,Los jasmines,Alimentador,1.5,-7116,-79808
784,Expreso6,Honorio Delgado,Alimentador,1.5,-9921,-76578
785,Expreso4,Pacifico,Ruta Troncal,2.5,-9713,-71839
786,D,Javier Prado,Ruta Troncal,2.5,-7178,-72717
787,Expreso5,Estacion F,Ruta Troncal,2.5,-6960,-73404
788,C,Los jasmines,Alimentador,1.5,-8229,-71545
789,A,Bulevar,Alimentador,1.5,-9832,-74060
790,Expreso1,Estacion A,Ruta Troncal,2.5,-9405,-72810
791,SXN,Parque del trabajo,Ruta Troncal,2.5,-9960,-73035
792,Expreso3,Estacion A,Alimentador,1.5,-8146,-71179
793,Expreso4,Angamos,Alimentador,1.5,-8539,-75982
794,Expreso2,Balta,Ruta Troncal,2.5,-8947,-79577
795,Expreso9,Tomas Valle,Alimentador,1.5,-9505,-74677
796,Expreso1,Domingo Orue,Ruta Troncal,2.5,-9550,-79313
797,Expreso5,Colmena,Alimentador,1.5,-9002,-71199
798,SX,Caqueta,Alimentador,1.5,-7254,-73347
799,Expreso6,Tacna,Ruta Troncal,2.5,-6180,-75784
800,Expreso4,Tomas Valle,Ruta Troncal,2.5,-9725,-79673
801,Expreso2,España,Ruta Troncal,2.5,-9425,-78915
802,C,Dos de Mayo,Ruta Troncal,2.5,-8673,-79944
803,Expreso9,Plaza de Flores,Alimentador,1.5,-8017,-77714
804,Expreso3,Naranjal,Ruta Troncal,2.5,-9830,-77829
805,SXN,El milagro,Alimentador,1.5,-9533,-78437
806,Expreso9,Estacion D,Ruta Troncal,2.5,-7504,-73644
807,Expreso9,Quilca,Ruta Troncal,2.5,-8732,-76117
808,Expreso2,Izaguirre,Alimentador,1.5,-8175,-74190
809,B,Uni,Ruta Troncal,2.5,-8675,-70941
810,C,Dos de Mayo,Alimentador,1.5,-7896,-71026
811,D,Honorio Delgado,Alimentador,1.5,-6288,-74906
812,Expreso4,Angamos,Alimentador,1.5,-7615,-79795
813,C,Estacion F,Alimentador,1.5,-9055,-71355
814,B,Rosario de Villa,Ruta Troncal,2.5,-6837,-72330
815,D,Canaval Moreyra,Ruta Troncal,2.5,-6878,-71415
816,Expreso5,Caqueta,Alimentador,1.5,-7701,-70376
817,B,Izaguirre,Ruta Troncal,2.5,-5295,-75189
818,D,Balta,Ruta Troncal,2.5,-5005,-79612
819,Expreso6,Estacion F,Ruta Troncal,2.5,-6818,-70933
820,Expreso2,Caqueta,Alimentador,1.5,-9873,-72265
821,SXN,Quilca,Ruta Troncal,2.5,-6752,-77165
822,B,Mexico,Alimentador,1.5,-5739,-78905
823,SXN,Canada,Ruta Troncal,2.5,-6926,-74677
824,Expreso2,El milagro,Alimentador,1.5,-6967,-74646
825,C,Estacion B,Alimentador,1.5,-7371,-75708
826,A,Pacifico,Ruta Troncal,2.5,-5233,-72636
827,Expreso1,El milagro,Ruta Troncal,2.5,-6284,-71148
828,A,Domingo Orue,Alimentador,1.5,-5848,-70875
829,Expreso3,Escuela Militar,Alimentador,1.5,-6813,-79717
830,SX,Uni,Ruta Troncal,2.5,-6403,-72707
831,Expreso5,Mexico,Ruta Troncal,2.5,-5256,-73174
832,Expreso5,Estacion B,Alimentador,1.5,-6894,-79269
833,SX,Quilca,Alimentador,1.5,-6936,-72128
834,Expreso9,Dos de Mayo,Alimentador,1.5,-7233,-76561
835,Expreso3,Estadio Nacional,Alimentador,1.5,-5955,-71899
836,Expreso1,Colmena,Alimentador,1.5,-8290,-71494
837,Expreso9,Uni,Ruta Troncal,2.5,-6365,-72110
838,SXN,Independencia,Ruta Troncal,2.5,-7079,-72588
839,C,Aramburu,Alimentador,1.5,-6475,-72195
840,A,Estadio Nacional,Ruta Troncal,2.5,-9921,-74505
841,Expreso8,Estacion E,Alimentador,1.5,-5518,-71752
842,Expreso2,Estacion E,Alimentador,1.5,-8317,-72266
843,Expreso4,Rosario de Villa,Ruta Troncal,2.5,-7728,-79223
844,C,Rosario de Villa,Alimentador,1.5,-6827,-79476
845,Expreso3,El milagro,Ruta Troncal,2.5,-7821,-78355
846,Expreso9,Central,Alimentador,1.5,-9370,-72900
847,Expreso2,Ricardo Palma,Ruta Troncal,2.5,-5804,-77775
848,Expreso3,Balta,Alimentador,1.5,-6243,-72089
849,B,Benavides,Alimentador,1.5,-7590,-77514
850,Expreso8,Tomas Valle,Alimentador,1.5,-9551,-79455
851,Expreso9,Estacion C,Ruta Troncal,2.5,-9370,-78118
852,Expreso5,Rosario de Villa,Ruta Troncal,2.5,-8725,-71198
853,Expreso4,España,Alimentador,1.5,-7277,-73294
854,Expreso6,Jiron de la Union,Ruta Troncal,2.5,-7738,-77953
855,Expreso2,Estadio Union,Alimentador,1.5,-5419,-72746
856,SXN,Central,Ruta Troncal,2.5,-9378,-78954
857,Expreso4,El milagro,Alimentador,1.5,-7601,-76153
858,Expreso2,El milagro,Alimentador,1.5,-9121,-78988
859,C,Estacion E,Alimentador,1.5,-9179,-74273
860,Expreso6,Estadio Nacional,Alimentador,1.5,-7720,-75379
861,Expreso2,Mexico,Ruta Troncal,2.5,-9281,-73781
862,C,Jiron de la Union,Alimentador,1.5,-5303,-71992
