ID,Buses,Estacion,Rutas,Tarifa,Altitud,Longitud
429,B,Dos de Mayo,Ruta Troncal,2.5,-5162,-70809
430,A,Honorio Delgado,Alimentador,1.5,-7231,-78552
431,Expreso2,Estadio Nacional,Ruta Troncal,2.5,-9291,-70108
432,Expreso3,Caqueta,Alimentador,1.5,-7239,-70069
433,Expreso5,Domingo Orue,Alimentador,1.5,-6875,-73604
434,D,Pacifico,Ruta Troncal,2.5,-8524,-74856
435,Expreso6,Honorio Delgado,Ruta Troncal,2.5,-5541,-75916
436,A,Aramburu,Alimentador,1.5,-8771,-72166
437,Expreso4,Tacna,Ruta Troncal,2.5,-7856,-74810
438,Expreso2,Colmena,Alimentador,1.5,-9620,-70333
439,B,Jiron de la Union,Ruta Troncal,2.5,-8985,-78750
440,Expreso6,El milagro,Ruta Troncal,2.5,-9063,-70640
441,Expreso4,Teran,Alimentador,1.5,-6956,-77931
442,Expreso6,Teran,Ruta Troncal,2.5,-7939,-71368
443,Expreso3,Estadio Union,Alimentador,1.5,-5916,-73271
444,Expreso2,Benavides,Alimentador,1.5,-9063,-72629
445,Expreso9,Izaguirre,Ruta Troncal,2.5,-6333,-71715
446,Expreso5,Mexico,Ruta Troncal,2.5,-8222,-76566
447,Expreso7,Naranjal,Alimentador,1.5,-6611,-73666
448,Expreso5,Ramon,Alimentador,1.5,-8578,-74105
449,Expreso3,Colmena,Alimentador,1.5,-7012,-76985
450,B,Independencia,Alimentador,1.5,-8324,-71435
451,Expreso1,Estacion C,Alimentador,1.5,-8792,-77974
452,Expreso8,Colmena,Ruta Troncal,2.5,-5566,-71116
453,A,Matellini,Ruta Troncal,2.5,-6170,-70648
454,Expreso2,Los jasmines,Ruta Troncal,2.5,-7615,-70732
455,Expreso2,Los jasmines,Ruta Troncal,2.5,-5730,-71870
456,Expreso4,Honorio Delgado,Ruta Troncal,2.5,-9222,-72883
457,Expreso2,Uni,Ruta Troncal,2.5,-5442,-70158
458,Expreso1,Plaza de Flores,Ruta Troncal,2.5,-5289,-74714
459,D,Estacion A,Ruta Troncal,2.5,-5919,-73040
460,Expreso5,Balta,Alimentador,1.5,-9086,-76814
461,D,Benavides,Alimentador,1.5,-9665,-76879
462,B,Rosario de Villa,Ruta Troncal,2.5,-8535,-72901
463,SXN,Plaza de Flores,Alimentador,1.5,-8541,-73303
464,Expreso4,Quilca,Ruta Troncal,2.5,-7557,-70824
465,Expreso4,Estacion B,Ruta Troncal,2.5,-7251,-74550
466,Expreso7,Central,Alimentador,1.5,-6902,-74939
467,Expreso4,Canaval Moreyra,Ruta Troncal,2.5,-6782,-77259
468,A,Tacna,Ruta Troncal,2.5,-9515,-79854
469,Expreso6,Naranjal,Ruta Troncal,2.5,-9641,-77312
470,B,Dos de Mayo,Ruta Troncal,2.5,-6650,-75981
471,Expreso4,Colmena,Ruta Troncal,2.5,-8638,-75208
472,A,Pacifico,Ruta Troncal,2.5,-5305,-72732
473,Expreso3,Angamos,Ruta Troncal,2.5,-5469,-73066
474,Expreso7,Escuela Militar,Alimentador,1.5,-9326,-75152
475,Expreso8,Pacifico,Alimentador,1.5,-7862,-78420
476,Expreso9,Estacion B,Alimentador,1.5,-8260,-70702
477,B,Colmena,Ruta Troncal,2.5,-7165,-76034
478,A,Estacion E,Alimentador,1.5,-9086,-75009
479,A,Uni,Alimentador,1.5,-6026,-79827
480,Expreso2,Quilca,Alimentador,1.5,-8294,-71420
481,Expreso3,Parque del trabajo,Alimentador,1.5,-5434,-75697
482,Expreso2,Matellini,Alimentador,1.5,-5923,-76066
483,A,Tomas Valle,Alimentador,1.5,-9828,-70789
484,C,Javier Prado,Alimentador,1.5,-5002,-72018
485,Expreso9,Jiron de la Union,Ruta Troncal,2.5,-7119,-77402
486,Expreso9,Quilca,Alimentador,1.5,-8266,-77980
487,Expreso2,Teran,Ruta Troncal,2.5,-5352,-74058
488,B,Plaza de Flores,Ruta Troncal,2.5,-8444,-76414
489,A,Estacion B,Ruta Troncal,2.5,-5946,-73774
490,B,Honorio Delgado,Alimentador,1.5,-7561,-75169
491,Expreso7,España,Ruta Troncal,2.5,-5175,-74006
492,Expreso4,Estadio Union,Alimentador,1.5,-7810,-72194
493,D,Canada,Alimentador,1.5,-6040,-73280
494,Expreso1,Estacion B,Ruta Troncal,2.5,-9261,-78336
495,Expreso2,Izaguirre,Ruta Troncal,2.5,-6307,-71761
496,Expreso5,Mexico,Ruta Troncal,2.5,-6828,-72896
497,Expreso1,Estacion A,Ruta Troncal,2.5,-5597,-78391
498,Expreso8,Honorio Delgado,Ruta Troncal,2.5,-7383,-76097
499,SX,Jiron de la Union,Ruta Troncal,2.5,-7238,-79422
500,Expreso8,Escuela Militar,Ruta Troncal,2.5,-9099,-70947
501,D,Estacion B,Ruta Troncal,2.5,-5733,-76006
502,B,Los jasmines,Ruta Troncal,2.5,-8899,-79508
503,Expreso5,28 de Julio,Ruta Troncal,2.5,-8083,-70037
504,Expreso5,Jiron de la Union,Ruta Troncal,2.5,-7765,-74907
505,B,Estacion B,Ruta Troncal,2.5,-5034,-70388
506,Expreso6,Honorio Delgado,Ruta Troncal,2.5,-7992,-78429
507,A,Estadio Union,Ruta Troncal,2.5,-6973,-74391
508,Expreso1,Uni,Ruta Troncal,2.5,-5671,-72458
509,Expreso7,Ricardo Palma,Ruta Troncal,2.5,-9129,-73050
510,C,Matellini,Alimentador,1.5,-7910,-70816
511,SXN,Los jasmines,Alimentador,1.5,-9017,-77247
512,Expreso6,Ramon,Alimentador,1.5,-9648,-72064
513,Expreso9,España,Ruta Troncal,2.5,-7372,-72795
514,SXN,Quilca,Alimentador,1.5,-9863,-72702
515,Expreso1,Benavides,Ruta Troncal,2.5,-6344,-77221
516,C,Aramburu,Alimentador,1.5,-8117,-78373
517,D,Jiron de la Union,Alimentador,1.5,-6476,-71258
518,Expreso7,Angamos,Ruta Troncal,2.5,-7210,-73239
519,Expreso5,Domingo Orue,Alimentador,1.5,-7335,-79984
520,SX,Dos de Mayo,Alimentador,1.5,-8495,-79523
521,Expreso8,Angamos,Ruta Troncal,2.5,-6530,-73869
522,C,Tomas Valle,Alimentador,1.5,-6901,-70498
523,Expreso6,El milagro,Alimentador,1.5,-5595,-75024
524,A,Honorio Delgado,Ruta Troncal,2.5,-6553,-78567
525,Expreso1,Izaguirre,Alimentador,1.5,-8792,-70792
526,B,Estacion E,Alimentador,1.5,-5114,-70782
527,SX,Domingo Orue,Ruta Troncal,2.5,-6152,-73213
528,Expreso2,Jiron de la Union,Alimentador,1.5,-6580,-73911
529,Expreso4,España,Ruta Troncal,2.5,-6480,-71741
530,B,Colmena,Ruta Troncal,2.5,-7429,-73838
531,Expreso3,Estadio Nacional,Ruta Troncal,2.5,-9827,-71799
532,Expreso6,Quilca,Alimentador,1.5,-6726,-79752
533,C,Estadio Nacional,Alimentador,1.5,-6358,-78503
534,Expreso3,Colmena,Ruta Troncal,2.5,-9244,-76979
535,Expreso9,Honorio Delgado,Alimentador,1.5,-5729,-72189
536,SXN,España,Ruta Troncal,2.5,-5894,-79937
537,B,Jiron de la Union,Ruta Troncal,2.5,-6378,-77918
538,SX,Tacna,Alimentador,1.5,-6779,-72226
539,C,Estacion A,Alimentador,1.5,-8125,-70682
540,SX,Plaza de Flores,Ruta Troncal,2.5,-7452,-74324
541,Expreso3,Caqueta,Alimentador,1.5,-9311,-78150
542,Expreso9,Angamos,Alimentador,1.5,-6497,-78281
543,SX,Estadio Union,Ruta Troncal,2.5,-6168,-79507
544,Expreso4,Javier Prado,Ruta Troncal,2.5,-9135,-71494
545,B,Rosario de Villa,Alimentador,1.5,-8788,-70057
546,Expreso5,Mexico,Alimentador,1.5,-8184,-76386
547,Expreso4,Estadio Union,Alimentador,1.5,-8941,-74814
548,Expreso9,Caqueta,Alimentador,1.5,-8486,-79750
549,SXN,Tacna,Alimentador,1.5,-8162,-77461
550,Expreso8,Honorio Delgado,Ruta Troncal,2.5,-8882,-73711
551,Expreso6,España,Ruta Troncal,2.5,-6680,-71139
552,D,España,Ruta Troncal,2.5,-7173,-73214
553,Expreso4,Pacifico,Alimentador,1.5,-8408,-79763
554,C,España,Ruta Troncal,2.5,-5202,-77584
555,C,Estacion D,Alimentador,1.5,-7120,-78115
556,Expreso8,Estacion B,Ruta Troncal,2.5,-9138,-79271
557,Expreso2,Pacifico,Alimentador,1.5,-5953,-76938
558,Expreso2,Estadio Nacional,Ruta Troncal,2.5,-6704,-78450
559,Expreso7,El milagro,Alimentador,1.5,-7792,-71353
560,Expreso5,Estacion D,Alimentador,1.5,-8058,-70538
561,Expreso2,Estadio Nacional,Ruta Troncal,2.5,-9874,-75493
562,A,Domingo Orue,Alimentador,1.5,-6387,-72555
563,Expreso6,Mexico,Ruta Troncal,2.5,-8076,-70104
564,Expreso3,Pacifico,Ruta Troncal,2.5,-6122,-76034
565,B,Domingo Orue,Ruta Troncal,2.5,-7197,-77187
566,Expreso1,Pacifico,Alimentador,1.5,-5748,-78942
567,Expreso9,Independencia,Alimentador,1.5,-7593,-74161
568,C,Angamos,Alimentador,1.5,-6508,-77363
569,C,Dos de Mayo,Alimentador,1.5,-8384,-77990
570,Expreso9,Pacifico,Ruta Troncal,2.5,-5769,-70539
571,Expreso3,Caqueta,Ruta Troncal,2.5,-7394,-72314
572,Expreso9,Estadio Nacional,Alimentador,1.5,-5702,-73439
573,Expreso3,Uni,Ruta Troncal,2.5,-7471,-74738
574,B,Domingo Orue,Alimentador,1.5,-6702,-74612
575,SXN,Jiron de la Union,Ruta Troncal,2.5,-6022,-72737
576,Expreso1,Ramon,Ruta Troncal,2.5,-5163,-73002
577,Expreso9,Central,Alimentador,1.5,-6376,-75227
578,D,Jiron de la Union,Alimentador,1.5,-6795,-73274
579,A,El milagro,Ruta Troncal,2.5,-8419,-73127
580,SXN,Estacion A,Ruta Troncal,2.5,-8527,-78427
581,C,Mexico,Alimentador,1.5,-9193,-74416
582,Expreso8,Central,Ruta Troncal,2.5,-7895,-77335
583,Expreso7,Central,Ruta Troncal,2.5,-9959,-70737
584,Expreso9,Bulevar,Alimentador,1.5,-8578,-70717
585,Expreso8,Dos de Mayo,Alimentador,1.5,-7070,-76623
586,SXN,Honorio Delgado,Alimentador,1.5,-7739,-73415
587,SX,Estacion E,Alimentador,1.5,-6536,-70601
588,Expreso3,El milagro,Ruta Troncal,2.5,-9117,-74179
589,Expreso6,Pacifico,Alimentador,1.5,-6258,-71607
590,Expreso6,Quilca,Alimentador,1.5,-7897,-74760
591,Expreso1,Colmena,Alimentador,1.5,-9449,-73674
592,Expreso2,Balta,Alimentador,1.5,-9701,-77694
593,Expreso4,Estadio Union,Ruta Troncal,2.5,-7295,-78261
594,Expreso6,Tacna,Ruta Troncal,2.5,-6086,-77757
595,SX,Tomas Valle,Alimentador,1.5,-7656,-77474
596,A,Tomas Valle,Ruta Troncal,2.5,-9510,-79600
597,B,Estadio Nacional,Alimentador,1.5,-6169,-70757
598,Expreso9,Angamos,Alimentador,1.5,-5837,-77294
599,Expreso7,Benavides,Ruta Troncal,2.5,-6446,-75721
600,SX,28 de Julio,Ruta Troncal,2.5,-9052,-71656
601,Expreso6,Caqueta,Alimentador,1.5,-9393,-78041
602,C,Caqueta,Alimentador,1.5,-6193,-72008
603,A,Escuela Militar,Ruta Troncal,2.5,-6803,-72784
604,SXN,Ramon,Ruta Troncal,2.5,-6362,-75165
605,Expreso6,Independencia,Ruta Troncal,2.5,-9205,-79350
606,Expreso1,Canada,Alimentador,1.5,-7767,-76233
607,Expreso8,Rosario de Villa,Alimentador,1.5,-5256,-71003
608,Expreso9,Caqueta,Alimentador,1.5,-5892,-74260
609,Expreso1,Estacion A,Ruta Troncal,2.5,-9104,-70890
610,A,Estadio Union,Alimentador,1.5,-6227,-72831
611,Expreso2,Javier Prado,Ruta Troncal,2.5,-5771,-77659
612,Expreso5,Estacion A,Alimentador,1.5,-6438,-70435
613,SXN,Estacion E,Alimentador,1.5,-9598,-77465
614,Expreso2,Estacion C,Alimentador,1.5,-7896,-72135
615,Expreso8,Izaguirre,Ruta Troncal,2.5,-5005,-78705
616,Expreso1,Jiron de la Union,Alimentador,1.5,-8407,-71833
617,Expreso9,España,Ruta Troncal,2.5,-6659,-71213
618,C,Izaguirre,Ruta Troncal,2.5,-6450,-76033
619,Expreso4,Naranjal,Ruta Troncal,2.5,-7555,-71938
620,Expreso7,Mexico,Ruta Troncal,2.5,-7836,-78936
621,D,Domingo Orue,Ruta Troncal,2.5,-5653,-79470
622,B,Independencia,Alimentador,1.5,-9916,-76132
623,A,Bulevar,Ruta Troncal,2.5,-9562,-77926
624,SXN,Matellini,Ruta Troncal,2.5,-6723,-79616
625,Expreso4,Izaguirre,Alimentador,1.5,-9837,-78543
626,Expreso2,Canada,Alimentador,1.5,-7707,-71120
627,SX,Estacion C,Alimentador,1.5,-7298,-75671
628,Expreso4,Estacion A,Alimentador,1.5,-6241,-74053
629,D,Balta,Alimentador,1.5,-6730,-72666
630,Expreso1,Tacna,Ruta Troncal,2.5,-7556,-77297
631,SX,Pacifico,Alimentador,1.5,-8764,-78617
632,Expreso2,Matellini,Alimentador,1.5,-8283,-70386
633,SX,Plaza de Flores,Alimentador,1.5,-7928,-70122
634,Expreso4,Angamos,Alimentador,1.5,-7213,-70615
635,B,Honorio Delgado,Ruta Troncal,2.5,-7414,-71084
636,Expreso1,Honorio Delgado,Ruta Troncal,2.5,-8711,-79852
637,Expreso1,Estacion C,Ruta Troncal,2.5,-6837,-79451
638,C,Domingo Orue,Ruta Troncal,2.5,-5691,-79973
639,Expreso7,Escuela Militar,Alimentador,1.5,-5245,-76987
640,Expreso8,Javier Prado,Ruta Troncal,2.5,-9007,-74832
641,C,Aramburu,Alimentador,1.5,-7019,-72477
642,SXN,Independencia,Alimentador,1.5,-8333,-74960
643,Expreso3,Rosario de Villa,Alimentador,1.5,-9924,-71015
644,Expreso2,Estacion B,Ruta Troncal,2.5,-7193,-71577
645,SX,Izaguirre,Alimentador,1.5,-7610,-74912
646,Expreso5,Ricardo Palma,Alimentador,1.5,-8837,-70283
647,Expreso7,Estacion B,Alimentador,1.5,-5201,-74967
648,Expreso7,Estacion F,Ruta Troncal,2.5,-9536,-75616
649,Expreso3,Bulevar,Alimentador,1.5,-6112,-70478
650,Expreso3,Canada,Alimentador,1.5,-8063,-78180
651,Expreso5,Benavides,Ruta Troncal,2.5,-8860,-79320
652,Expreso6,Quilca,Alimentador,1.5,-5445,-72628
653,Expreso7,Bulevar,Alimentador,1.5,-7787,-73415
654,Expreso1,Javier Prado,Alimentador,1.5,-6812,-72149
655,Expreso8,Benavides,Alimentador,1.5,-7335,-79121
656,B,Quilca,Ruta Troncal,2.5,-5820,-76088
657,Expreso4,Jiron de la Union,Alimentador,1.5,-6997,-76448
658,Expreso6,Caqueta,Ruta Troncal,2.5,-8284,-79477
659,B,Ramon,Alimentador,1.5,-9838,-75483
660,C,Dos de Mayo,Ruta Troncal,2.5,-5400,-70576
661,Expreso7,Rosario de Villa,Alimentador,1.5,-8671,-79024
662,Expreso7,Teran,Alimentador,1.5,-7837,-75183
663,C,Estacion F,Alimentador,1.5,-6805,-72825
664,Expreso1,Naranjal,Alimentador,1.5,-5385,-75789
665,C,Jiron de la Union,Ruta Troncal,2.5,-5228,-71269
666,A,El milagro,Alimentador,1.5,-8738,-70651
667,B,Estacion A,Alimentador,1.5,-5692,-75262
668,SX,Estadio Union,Alimentador,1.5,-5071,-78885
669,Expreso8,Mexico,Alimentador,1.5,-8702,-77292
670,SXN,Estacion C,Alimentador,1.5,-8764,-73261
671,Expreso3,Quilca,Alimentador,1.5,-5367,-79333
672,A,Escuela Militar,Alimentador,1.5,-6472,-75544
673,Expreso9,28 de Julio,Ruta Troncal,2.5,-7917,-74171
674,Expreso7,Canada,Ruta Troncal,2.5,-5470,-72221
675,SXN,Dos de Mayo,Ruta Troncal,2.5,-8305,-73225
676,Expreso4,Estacion E,Ruta Troncal,2.5,-9471,-71548
677,Expreso4,Caqueta,Ruta Troncal,2.5,-9906,-74544
678,B,Colmena,Ruta Troncal,2.5,-9697,-75784
679,SXN,Aramburu,Alimentador,1.5,-7150,-76694
680,Expreso3,Jiron de la Union,Alimentador,1.5,-8481,-70103
681,D,Plaza de Flores,Alimentador,1.5,-8132,-77822
682,Expreso9,Caqueta,Ruta Troncal,2.5,-8013,-74302
683,Expreso9,Bulevar,Alimentador,1.5,-9292,-77258
684,SXN,Izaguirre,Alimentador,1.5,-9399,-78899
685,SX,Honorio Delgado,Ruta Troncal,2.5,-9284,-72392
686,SX,El milagro,Ruta Troncal,2.5,-8177,-71241
687,Expreso4,Benavides,Alimentador,1.5,-7388,-74883
688,SXN,Estadio Union,Alimentador,1.5,-7331,-75078
689,Expreso2,El milagro,Alimentador,1.5,-8927,-74604
690,Expreso4,Quilca,Ruta Troncal,2.5,-9950,-70122
691,Expreso9,Estacion E,Alimentador,1.5,-9562,-70222
692,Expreso6,Aramburu,Ruta Troncal,2.5,-9751,-70476
693,C,Tomas Valle,Alimentador,1.5,-9939,-70770
694,Expreso3,Balta,Ruta Troncal,2.5,-7480,-71709
695,D,Estacion C,Ruta Troncal,2.5,-9915,-71313
696,Expreso6,Rosario de Villa,Alimentador,1.5,-7123,-77859
697,Expreso9,Mexico,Alimentador,1.5,-6689,-70301
698,SX,Canaval Moreyra,Ruta Troncal,2.5,-8859,-71268
699,Expreso3,Canada,Alimentador,1.5,-8211,-79417
700,Expreso8,Domingo Orue,Ruta Troncal,2.5,-8293,-78919
701,A,El milagro,Ruta Troncal,2.5,-5259,-70095
702,SX,Estacion E,Ruta Troncal,2.5,-9271,-74752
703,D,Bulevar,Ruta Troncal,2.5,-8201,-76466
704,Expreso4,Escuela Militar,Ruta Troncal,2.5,-7731,-73263
705,Expreso5,Plaza de Flores,Ruta Troncal,2.5,-9777,-72044
706,Expreso1,Estacion C,Alimentador,1.5,-6520,-73618
707,SX,Caqueta,Ruta Troncal,2.5,-7826,-75258
708,Expreso1,Plaza de Flores,Alimentador,1.5,-7399,-70762
709,C,Izaguirre,Ruta Troncal,2.5,-7276,-74834
710,Expreso2,Angamos,Alimentador,1.5,-7849,-72500
711,Expreso8,Canaval Moreyra,Alimentador,1.5,-6710,-76227
712,SXN,Independencia,Alimentador,1.5,-9390,-73393
713,SXN,Estadio Nacional,Alimentador,1.5,-9487,-78011
714,Expreso2,Pacifico,Ruta Troncal,2.5,-5570,-70159
715,B,Colmena,Alimentador,1.5,-9094,-75703
716,SX,Angamos,Alimentador,1.5,-9880,-73579
717,A,Estacion C,Alimentador,1.5,-8857,-76813
718,Expreso9,Pacifico,Alimentador,1.5,-6275,-79091
719,Expreso9,Rosario de Villa,Alimentador,1.5,-9102,-70245
720,B,Teran,Alimentador,1.5,-9400,-71507
721,Expreso6,Matellini,Alimentador,1.5,-6352,-74197
722,B,Estacion E,Ruta Troncal,2.5,-6414,-79370
723,Expreso4,Javier Prado,Alimentador,1.5,-6913,-74301
724,D,Naranjal,Alimentador,1.5,-8187,-77722
725,Expreso2,Tacna,Ruta Troncal,2.5,-6194,-75832
726,Expreso5,Estadio Union,Alimentador,1.5,-6009,-73105
727,Expreso9,Tomas Valle,Ruta Troncal,2.5,-6719,-72119
728,C,Estacion B,Alimentador,1.5,-8549,-73614
729,Expreso1,Caqueta,Ruta Troncal,2.5,-5367,-73997
730,Expreso2,Estacion C,Ruta Troncal,2.5,-7541,-73427
731,Expreso8,Estacion D,Ruta Troncal,2.5,-5280,-73065
732,SX,Tomas Valle,Ruta Troncal,2.5,-7724,-78802
733,Expreso5,Canaval Moreyra,Alimentador,1.5,-8173,-72909
734,Expreso8,Tomas Valle,Alimentador,1.5,-8999,-75065
735,Expreso3,España,Alimentador,1.5,-9597,-72577
736,SX,Naranjal,Ruta Troncal,2.5,-7751,-79520
737,Expreso2,Honorio Delgado,Ruta Troncal,2.5,-7063,-71650
738,C,Jiron de la Union,Ruta Troncal,2.5,-6803,-76632
739,Expreso1,Pacifico,Alimentador,1.5,-9847,-70617
740,A,Estadio Union,Ruta Troncal,2.5,-9080,-73271
741,Expreso6,Parque del trabajo,Alimentador,1.5,-8789,-76767
742,C,Pacifico,Alimentador,1.5,-8998,-78195
743,Expreso5,Uni,Ruta Troncal,2.5,-6747,-76227
744,Expreso3,Estacion D,Alimentador,1.5,-8867,-77127
745,Expreso8,Uni,Ruta Troncal,2.5,-9988,-78985
746,Expreso9,Dos de Mayo,Ruta Troncal,2.5,-6502,-70614
747,D,Estacion D,Alimentador,1.5,-6207,-78910
748,Expreso9,Tacna,Ruta Troncal,2.5,-8955,-72640
749,Expreso3,Parque del trabajo,Alimentador,1.5,-8171,-76167
750,Expreso3,Estadio Union,Ruta Troncal,2.5,-6075,-70977
751,Expreso2,Honorio Delgado,Alimentador,1.5,-5025,-78318
752,Expreso4,Estacion A,Ruta Troncal,2.5,-8564,-77670
753,D,Bulevar,Alimentador,1.5,-6281,-73870
754,Expreso4,Pacifico,Alimentador,1.5,-7476,-76309
755,C,Jiron de la Union,Alimentador,1.5,-7271,-70614
756,D,Ricardo Palma,Ruta Troncal,2.5,-6163,-70222
757,B,Canaval Moreyra,Alimentador,1.5,-7546,-72144
758,Expreso5,Tomas Valle,Ruta Troncal,2.5,-6586,-77149
759,A,Pacifico,Alimentador,1.5,-6688,-70366
760,Expreso6,Rosario de Villa,Ruta Troncal,2.5,-7251,-73375
761,Expreso6,Central,Alimentador,1.5,-5461,-71511
762,Expreso8,El milagro,Ruta Troncal,2.5,-5026,-75396
763,B,Estacion C,Ruta Troncal,2.5,-7509,-76015
764,Expreso8,Canada,Ruta Troncal,2.5,-5547,-74821
765,A,Ramon,Ruta Troncal,2.5,-7220,-79395
766,SXN,Estacion C,Ruta Troncal,2.5,-8999,-73682
767,Expreso5,Estacion F,Alimentador,1.5,-8772,-71269
768,B,Estadio Union,Alimentador,1.5,-5086,-70458
769,Expreso3,Tacna,Alimentador,1.5,-6461,-78078
770,B,Balta,Alimentador,1.5,-7483,-71715
771,Expreso1,Izaguirre,Alimentador,1.5,-8410,-72970
772,Expreso8,Estadio Nacional,Alimentador,1.5,-6303,-73541
773,Expreso2,28 de Julio,Ruta Troncal,2.5,-6641,-72661
774,B,Parque del trabajo,Ruta Troncal,2.5,-5469,-75811
775,B,Domingo Orue,Ruta Troncal,2.5,-7311,-71930
776,Expreso7,Izaguirre,Alimentador,1.5,-8365,-74380
777,D,Honorio Delgado,Alimentador,1.5,-8049,-75107
778,A,El milagro,Ruta Troncal,2.5,-7256,-73884
779,D,Canada,Ruta Troncal,2.5,-9958,-74026
780,Expreso8,Estacion F,Ruta Troncal,2.5,-6571,-76531
781,Expreso9,Balta,Alimentador,1.5,-9304,-70099
782,Expreso2,Estacion B,Ruta Troncal,2.5,-7644,-70800
783,Expreso2,28 de Julio,Ruta Troncal,2.5,-5708,-74799
784,SXN,Naranjal,Ruta Troncal,2.5,-9172,-70196
785,Expreso4,Independencia,Ruta Troncal,2.5,-9783,-76384
786,Expreso1,Caqueta,Alimentador,1.5,-8883,-71197
787,D,Izaguirre,Ruta Troncal,2.5,-8619,-75352
788,Expreso7,Los jasmines,Alimentador,1.5,-6889,-77329
789,Expreso4,Uni,Ruta Troncal,2.5,-5599,-73279
790,C,Honorio Delgado,Alimentador,1.5,-7733,-74118
791,Expreso7,Domingo Orue,Alimentador,1.5,-8280,-74431
792,Expreso3,Dos de Mayo,Ruta Troncal,2.5,-5377,-77885
793,Expreso2,Independencia,Ruta Troncal,2.5,-7991,-79520
794,Expreso4,Los jasmines,Alimentador,1.5,-7293,-71798
795,Expreso4,Balta,Alimentador,1.5,-9373,-78682
796,Expreso5,Aramburu,Alimentador,1.5,-6087,-76308
797,Expreso3,Estacion F,Ruta Troncal,2.5,-8748,-76928
798,D,Mexico,Ruta Troncal,2.5,-7794,-78028
799,Expreso2,Parque del trabajo,Alimentador,1.5,-6845,-71389
800,Expreso1,28 de Julio,Alimentador,1.5,-5068,-76122
801,Expreso8,Canaval Moreyra,Ruta Troncal,2.5,-8141,-70832
802,Expreso2,España,Ruta Troncal,2.5,-8886,-79862
803,Expreso1,Quilca,Alimentador,1.5,-8605,-75156
804,Expreso8,Independencia,Ruta Troncal,2.5,-7810,-73376
805,Expreso2,Escuela Militar,Alimentador,1.5,-6937,-77258
806,Expreso7,Honorio Delgado,Alimentador,1.5,-6093,-73406
807,Expreso9,Bulevar,Alimentador,1.5,-5772,-70824
808,SX,Mexico,Alimentador,1.5,-8576,-79244
809,Expreso6,Ricardo Palma,Alimentador,1.5,-5564,-78079
810,Expreso3,Javier Prado,Alimentador,1.5,-9377,-73072
811,Expreso4,Izaguirre,Ruta Troncal,2.5,-6386,-79418
812,C,Ramon,Ruta Troncal,2.5,-5380,-71637
813,Expreso3,Estacion B,Ruta Troncal,2.5,-8625,-77580
814,Expreso4,Tomas Valle,Alimentador,1.5,-8956,-71011
815,Expreso7,Estacion C,Alimentador,1.5,-6303,-77397
816,Expreso7,Plaza de Flores,Ruta Troncal,2.5,-5187,-76038
817,Expreso1,Javier Prado,Ruta Troncal,2.5,-7644,-75803
818,Expreso4,Tacna,Ruta Troncal,2.5,-7814,-75817
819,Expreso8,Teran,Ruta Troncal,2.5,-9610,-78063
820,Expreso8,Naranjal,Ruta Troncal,2.5,-9525,-72709
821,Expreso8,Ramon,Alimentador,1.5,-9048,-78006
822,Expreso4,Estacion F,Ruta Troncal,2.5,-5354,-79076
823,Expreso2,Caqueta,Alimentador,1.5,-9310,-75724
824,C,Benavides,Alimentador,1.5,-5183,-74165
825,Expreso4,El milagro,Alimentador,1.5,-6054,-75812
826,SXN,Pacifico,Ruta Troncal,2.5,-5302,-77140
827,C,Naranjal,Alimentador,1.5,-9415,-72585
828,Expreso4,Quilca,Ruta Troncal,2.5,-7494,-78058
829,Expreso4,Angamos,Alimentador,1.5,-7747,-74959
830,Expreso1,Estadio Nacional,Ruta Troncal,2.5,-8119,-70901
831,Expreso7,Honorio Delgado,Ruta Troncal,2.5,-5567,-76878
832,Expreso1,Tomas Valle,Ruta Troncal,2.5,-6501,-72342
833,SX,El milagro,Ruta Troncal,2.5,-5156,-76553
834,Expreso6,Estadio Union,Ruta Troncal,2.5,-9124,-71253
835,Expreso1,Javier Prado,Ruta Troncal,2.5,-6987,-76519
836,Expreso9,Pacifico,Ruta Troncal,2.5,-5570,-79321
837,D,Rosario de Villa,Ruta Troncal,2.5,-5425,-77230
838,Expreso1,Balta,Ruta Troncal,2.5,-9060,-78947
839,Expreso9,Estadio Nacional,Alimentador,1.5,-6669,-79004
840,D,España,Alimentador,1.5,-5842,-79724
841,Expreso4,Colmena,Ruta Troncal,2.5,-8179,-70448
842,Expreso8,Mexico,Ruta Troncal,2.5,-9942,-71966
843,Expreso9,Escuela Militar,Ruta Troncal,2.5,-6034,-73084
844,C,El milagro,Ruta Troncal,2.5,-6183,-74404
845,Expreso9,Mexico,Alimentador,1.5,-7504,-72631
846,Expreso2,Aramburu,Ruta Troncal,2.5,-7834,-77207
847,C,Plaza de Flores,Alimentador,1.5,-8452,-76615
848,Expreso4,Javier Prado,Ruta Troncal,2.5,-8613,-75855
849,A,Estacion B,Alimentador,1.5,-6788,-76980
850,Expreso2,Canaval Moreyra,Ruta Troncal,2.5,-7184,-78827
851,D,Independencia,Ruta Troncal,2.5,-9073,-74428
852,B,Estacion A,Alimentador,1.5,-5317,-74891
853,Expreso3,Quilca,Ruta Troncal,2.5,-6017,-76937
854,Expreso8,Estacion F,Ruta Troncal,2.5,-6541,-75767
855,Expreso8,Estacion D,Ruta Troncal,2.5,-9828,-79503
856,C,Ricardo Palma,Ruta Troncal,2.5,-8220,-73198
